Accession	ID	Name	TFs	EnsemblID
M00001	MYOD_01	MyoD	MYOD1	ENSG00000129152
M00002	E47_01	E47	TCF3	ENSG00000071564
M00004	CMYB_01	c-Myb	MYB	ENSG00000118513
M00005	AP4_01	AP-4	TFAP4	ENSG00000090447
M00006	MEF2_01	MEF-2A	MEF2A	ENSG00000068305
M00007	ELK1_01	Elk-1	ELK1	ENSG00000126767
M00008	SP1_01	Sp1	SP1	ENSG00000185591
M00011	EVI1_06	Evi-1	MECOM	ENSG00000085276
M00017	ATF_01	ATF	GDNF	ENSG00000168621
M00023	HOX13_01	HOXA5 (Hox-1.3)	HOXA5	ENSG00000106004
M00024	E2F_01	E2F-1	E2F1;E2F2;E2F3	ENSG00000101412;ENSG00000007968;ENSG00000112242
M00025	ELK1_02	Elk-1	ELK1	ENSG00000126767
M00026	RSRFC4_01	RSRFC4	MEF2A	ENSG00000068305
M00032	CETS1P54_01	c-Ets-1(p54)	ETS1;NONO	ENSG00000134954;ENSG00000147140
M00033	P300_01	p300	EP300	ENSG00000100393
M00034	P53_01	p53	TP53	ENSG00000141510
M00037	NFE2_01	NF-E2	NFE2	ENSG00000123405
M00039	CREB_01	CREB	CREB1	ENSG00000118260
M00040	CREBP1_01	ATF-2	ATF2	ENSG00000115966
M00041	CREBP1CJUN_01	ATF2:c-Jun	ATF2;JUN	ENSG00000115966;ENSG00000177606
M00042	SOX5_01	Sox-5	SOX5	ENSG00000134532
M00045	E4BP4_01	E4BP4	NFIL3	ENSG00000165030
M00050	E2F_02	E2F	E2F1;E2F2;E2F3;E2F4;E2F5	ENSG00000101412;ENSG00000007968;ENSG00000112242;ENSG00000205250;ENSG00000133740
M00051	NFKAPPAB50_01	NF-kappaB (p50)	NFKB1	ENSG00000109320
M00052	NFKAPPAB65_01	NF-kappaB (p65)	NFKB1;RELA	ENSG00000109320;ENSG00000173039
M00053	CREL_01	c-Rel	REL	ENSG00000162924
M00054	NFKAPPAB_01	NF-kappaB	NFKB1;RELA	ENSG00000109320;ENSG00000173039
M00055	NMYC_01	N-Myc	MYCN	ENSG00000134323
M00056	MYOGNF1_01	myogenin / NF-1	NFIB;NFIC;NFIX	ENSG00000147862;ENSG00000141905;ENSG00000008441
M00058	HEN1_02	HEN1	NHLH1	ENSG00000171786
M00059	YY1_01	YY1	YY1	ENSG00000100811
M00062	IRF1_01	IRF-1	IRF1	ENSG00000125347
M00063	IRF2_01	IRF-2	IRF2	ENSG00000168310
M00065	TAL1BETAE47_01	Tal-1beta:E47	TAL1;TCF3	ENSG00000162367;ENSG00000071564
M00066	TAL1ALPHAE47_01	Tal-1alpha:E47	TAL1;TCF3	ENSG00000162367;ENSG00000071564
M00068	HEN1_01	HEN1	NHLH1	ENSG00000171786
M00069	YY1_02	YY1	YY1	ENSG00000100811
M00070	TAL1BETAITF2_01	Tal-1beta:ITF-2	TAL1;TCF4	ENSG00000162367;ENSG00000196628
M00071	E47_02	E47	TCF3	ENSG00000071564
M00072	CP2_01	CP2	TFCP2	ENSG00000135457
M00073	DELTAEF1_01	deltaEF1	ZEB1	ENSG00000148516
M00074	CETS1P54_02	c-Ets-1(p54)	ETS1;NONO	ENSG00000134954;ENSG00000147140
M00075	GATA1_01	GATA-1	GATA1	ENSG00000102145
M00076	GATA2_01	GATA-2	GATA2	ENSG00000179348
M00077	GATA3_01	GATA-3	GATA3	ENSG00000107485
M00078	EVI1_01	Evi-1	MECOM	ENSG00000085276
M00079	EVI1_02	Evi-1	MECOM	ENSG00000085276
M00080	EVI1_03	Evi-1	MECOM	ENSG00000085276
M00081	EVI1_04	Evi-1	MECOM	ENSG00000085276
M00082	EVI1_05	Evi-1	MECOM	ENSG00000085276
M00083	MZF1_01	MZF-1	MZF1	ENSG00000099326
M00084	MZF1_02	MZF-1	MZF1	ENSG00000099326
M00085	ZID_01	ZID	ZBTB6	ENSG00000186130
M00086	IK1_01	Ik-1	IKZF1	ENSG00000185811
M00087	IK2_01	Ik-2	IKZF1	ENSG00000185811
M00088	IK3_01	Ik-3	IKZF1	ENSG00000185811
M00095	CDP_01	CDP	CUX1;CUX2	ENSG00000257923;ENSG00000111249
M00096	PBX1_01	Pbx-1	PBX1	ENSG00000185630
M00097	PAX6_01	Pax-6	PAX6	ENSG00000007372
M00098	PAX2_01	Pax-2	PAX2	ENSG00000075891
M00099	S8_01	S8	PRRX2;PSMC5	ENSG00000167157;ENSG00000087191
M00100	CDXA_01	CdxA	CDX1	ENSG00000113722
M00101	CDXA_02	CdxA	CDX1	ENSG00000113722
M00102	CDP_02	CDP	CUX1;CUX2	ENSG00000257923;ENSG00000111249
M00103	CLOX_01	Clox	CUX1	ENSG00000257923
M00104	CDPCR1_01	CDP CR1	CUX1;CUX2	ENSG00000257923;ENSG00000111249
M00105	CDPCR3_01	CDP CR3	CUX1;CUX2	ENSG00000257923;ENSG00000111249
