Accession	ID	Name	TFs	EnsemblID
M00001	MYOD_01	MyoD	Myod1	ENSMUSG00000009471
M00002	E47_01	E47	Tcf3	ENSMUSG00000020167
M00004	CMYB_01	c-Myb	Myb	ENSMUSG00000019982
M00005	AP4_01	AP-4	Tfap4	ENSMUSG00000005718
M00006	MEF2_01	MEF-2A	Mef2a;Mef2c	ENSMUSG00000030557;ENSMUSG00000005583
M00007	ELK1_01	Elk-1	Elk1	ENSMUSG00000009406
M00008	SP1_01	Sp1	Sp1	ENSMUSG00000001280
M00011	EVI1_06	Evi-1	Mecom	ENSMUSG00000027684
M00017	ATF_01	ATF	Gdnf	ENSMUSG00000022144
M00023	HOX13_01	HOXA5 (Hox-1.3)	Hoxa5	ENSMUSG00000038253
M00024	E2F_01	E2F-1	E2f1;E2f2;E2f3	ENSMUSG00000027490;ENSMUSG00000018983;ENSMUSG00000016477
M00025	ELK1_02	Elk-1	Elk1	ENSMUSG00000009406
M00026	RSRFC4_01	RSRFC4	Mef2a	ENSMUSG00000030557
M00032	CETS1P54_01	c-Ets-1(p54)	Ets1	ENSMUSG00000032035
M00033	P300_01	p300	Ep300	ENSMUSG00000055024
M00034	P53_01	p53	Trp53	ENSMUSG00000059552
M00037	NFE2_01	NF-E2	Nfe2	ENSMUSG00000058794
M00039	CREB_01	CREB	Creb1	ENSMUSG00000025958
M00040	CREBP1_01	ATF-2	Atf2	ENSMUSG00000027104
M00041	CREBP1CJUN_01	ATF2:c-Jun	Atf2;Jun	ENSMUSG00000027104;ENSMUSG00000052684
M00042	SOX5_01	Sox-5	Sox5	ENSMUSG00000041540
M00045	E4BP4_01	E4BP4	Nfil3	ENSMUSG00000056749
M00050	E2F_02	E2F	E2f1;E2f2;E2f3;E2f4;E2f5	ENSMUSG00000027490;ENSMUSG00000018983;ENSMUSG00000016477;ENSMUSG00000014859;ENSMUSG00000027552
M00051	NFKAPPAB50_01	NF-kappaB (p50)	Nfkb1	ENSMUSG00000028163
M00052	NFKAPPAB65_01	NF-kappaB (p65)	Nfkb1;Rela	ENSMUSG00000028163;ENSMUSG00000024927
M00053	CREL_01	c-Rel	Rel	ENSMUSG00000020275
M00054	NFKAPPAB_01	NF-kappaB	Nfkb1;Rela	ENSMUSG00000028163;ENSMUSG00000024927
M00055	NMYC_01	N-Myc	Mycn	ENSMUSG00000037169
M00056	MYOGNF1_01	myogenin / NF-1	Nfia;Nfib;Nfic;Nfix	ENSMUSG00000028565;ENSMUSG00000008575;ENSMUSG00000055053;ENSMUSG00000001911
M00058	HEN1_02	HEN1	Nhlh1	ENSMUSG00000051251
M00059	YY1_01	YY1	Yy1	ENSMUSG00000021264
M00062	IRF1_01	IRF-1	Irf1	ENSMUSG00000018899
M00063	IRF2_01	IRF-2	Irf2	ENSMUSG00000031627
M00065	TAL1BETAE47_01	Tal-1beta:E47	Tal1;Tcf3	ENSMUSG00000028717;ENSMUSG00000020167
M00066	TAL1ALPHAE47_01	Tal-1alpha:E47	Tal1;Tcf3	ENSMUSG00000028717;ENSMUSG00000020167
M00068	HEN1_01	HEN1	Nhlh1	ENSMUSG00000051251
M00069	YY1_02	YY1	Yy1	ENSMUSG00000021264
M00070	TAL1BETAITF2_01	Tal-1beta:ITF-2	Tal1;Tcf4	ENSMUSG00000028717;ENSMUSG00000053477
M00071	E47_02	E47	Tcf3	ENSMUSG00000020167
M00072	CP2_01	CP2	Tfcp2	ENSMUSG00000009733
M00073	DELTAEF1_01	deltaEF1	Zeb1	ENSMUSG00000024238
M00074	CETS1P54_02	c-Ets-1(p54)	Ets1	ENSMUSG00000032035
M00075	GATA1_01	GATA-1	Gata1	ENSMUSG00000031162
M00076	GATA2_01	GATA-2	Gata2	ENSMUSG00000015053
M00077	GATA3_01	GATA-3	Gata3	ENSMUSG00000015619
